Front,Back,Extra,Tags
"Your organization has multiple departments that need isolated Azure resources with separate billing. Each department requires its own administrators who can only manage their department's resources. How should you structure the Azure environment?<br><br>A) Create multiple resource groups within one subscription<br>B) Create separate subscriptions per department under a management group<br>C) Use tags to separate resources in one subscription","B) Create separate subscriptions per department under a management group. Subscriptions provide billing isolation and administrative boundaries. Management groups enable centralized policy and RBAC inheritance across subscriptions.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/organize-subscriptions"">Organize Subscriptions</a>","Subscriptions provide: billing boundaries (separate invoices), resource limits (quotas per subscription), admin boundaries (isolate RBAC scopes). Resource groups (option A) share billing and subscription quotas. Tags (option C) don't provide admin isolation. Management group hierarchy: Root → Department MG → Dept Subscriptions. Assign policies at MG level (inherited by child subscriptions), assign RBAC at subscription level for department admins. Typical structure: Production subscriptions, Non-production subscriptions, Shared services subscription. Maximum: 5 free subscriptions, unlimited paid subscriptions, 10,000 management groups per tenant.",AZ-104 IdentityGovernance Subscriptions
"External partners need temporary access to specific Azure resources for a 3-month project. The solution must not require creating internal user accounts. How should you provide access?<br><br>A) Create Azure AD B2C accounts for each partner<br>B) Invite partners as Azure AD B2B guest users and assign RBAC roles<br>C) Share admin credentials with partners","B) Invite partners as Azure AD B2B guest users and assign RBAC roles. B2B enables external collaboration without creating internal accounts, partners use their own credentials, and you control access via RBAC.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/entra/external-id/what-is-b2b"">Azure AD B2B Overview</a>","B2B guest users: use their own identity (Azure AD, Microsoft account, Google, Facebook), appear in your Azure AD tenant, assignable to RBAC roles/groups. B2C (option A) is for customer-facing apps, not B2B collaboration. Shared credentials (option C) violate security best practices. Invitation flow: send invite → guest accepts → appears in directory → assign roles. Guest permissions: limited by default (can't enumerate directory), can access assigned resources only. Configure: external collaboration settings (who can invite, email domains allowed/blocked). Review access periodically with Azure AD Access Reviews. Charge: B2B guests count toward Azure AD license limits but external identities are free (up to 50K MAUs).",AZ-104 IdentityGovernance ExternalUsers
"Users forget passwords frequently and open support tickets. You need to reduce helpdesk workload while maintaining security. What should you implement?<br><br>A) Remove password requirements<br>B) Configure Self-Service Password Reset (SSPR) with MFA verification<br>C) Assign all users to IT admin group","B) Configure Self-Service Password Reset (SSPR) with MFA verification. SSPR enables users to reset passwords without helpdesk, requires verification methods (MFA, security questions, email, phone) for security.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/entra/identity/authentication/tutorial-enable-sspr"">Enable SSPR</a>","SSPR requirements: Azure AD Premium P1 license, configure authentication methods (minimum 2), enable for user group/all users. Removing passwords (option A) reduces security. IT admin (option C) grants excessive privileges. Verification methods: Mobile app notification, Mobile app code, Email, Office phone, Security questions. Require 2 methods to reset. On-premises writeback: sync new passwords to AD DS (requires Azure AD Connect with writeback enabled). Monitoring: use Azure Monitor to track SSPR events (successful resets, failed attempts, locked accounts). Configure: Authentication methods blade → SSPR → Enabled for: All/Selected users. Reduces helpdesk tickets by 30-50%.",AZ-104 IdentityGovernance SSPR
"Azure resources need to be protected from accidental deletion. Some resources like production databases must never be deleted without approval. How should you prevent deletion?<br><br>A) Use RBAC to remove delete permissions<br>B) Apply CanNotDelete or ReadOnly resource locks<br>C) Use Azure Policy to block deletion","B) Apply CanNotDelete or ReadOnly resource locks. Resource locks override RBAC permissions, prevent deletion (CanNotDelete) or modifications (ReadOnly) even by Owners.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/lock-resources"">Resource Locks</a>","Lock types: CanNotDelete (read and modify OK, delete blocked), ReadOnly (read only, no modify/delete). RBAC (option A) can be bypassed by admins with high privileges. Azure Policy (option C) audits but doesn't prevent. Lock scope: subscription, resource group, or resource level. Locks inherit: parent scope locks apply to child resources. Delete locked resource: 1) Remove lock, 2) Delete resource. Manage locks: Owner or User Access Administrator role. Use case: protect production databases, networking infrastructure, Key Vaults. Best practice: apply CanNotDelete on critical resource groups, document lock purpose in description field. Portal, CLI, PowerShell, ARM templates support locks.",AZ-104 IdentityGovernance ResourceLocks
"An organization needs to enforce naming conventions (e.g., all resource names must contain department code), allowed locations (only UK regions), and required tags (CostCenter, Environment). How should you enforce these standards?<br><br>A) Document standards and rely on manual compliance<br>B) Create and assign Azure Policy with deny effects and append modifications<br>C) Use RBAC to limit user actions","B) Create and assign Azure Policy with deny effects and append modifications. Azure Policy evaluates resources against rules, can deny non-compliant deployments, and automatically append required tags.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/governance/policy/overview"">Azure Policy Overview</a>","Policy components: policy definition (rules), assignment (scope), parameters (values). Manual standards (option A) don't enforce compliance. RBAC (option C) doesn't validate configurations. Effects: Deny (block non-compliant deployments), Append (add tags automatically), Modify (remediate non-compliant resources), Audit (log non-compliance), DeployIfNotExists (auto-deploy). Built-in policies: ""Allowed locations"", ""Require tag and its value"", ""Allowed resource types"". Custom policy example: require naming pattern with regex. Policy initiatives: group multiple policies (e.g., CIS benchmark, PCI compliance). Compliance dashboard: shows % compliant, non-compliant resources. Remediation tasks fix existing non-compliant resources.",AZ-104 IdentityGovernance AzurePolicy
"Multiple subscriptions need consistent role assignments for security teams across all current and future subscriptions. What's the most efficient approach?<br><br>A) Manually assign roles in each subscription<br>B) Create management group, assign roles at MG level with inheritance<br>C) Use Azure Automation to replicate assignments","B) Create management group, assign roles at MG level with inheritance. Management groups provide hierarchical scope for policies and RBAC, assignments inherit to child MGs and subscriptions, automatically applies to new subscriptions.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/governance/management-groups/overview"">Management Groups</a>","Management group hierarchy: Root MG (tenant-level) → Division MGs → Department MGs → Subscriptions. Manual assignment (option A) doesn't scale. Automation (option C) requires maintenance. Inheritance: RBAC assigned at parent MG applies to all children, policies assigned at MG enforce across subscriptions. Use case: Security Readers group assigned at root MG gets read access to all subscriptions. Structure: Production MG, Non-Production MG, Sandbox MG. RBAC roles: assign specific roles per MG (Security team → Security Reader at root, App teams → Contributor at dept MG). Maximum depth: 6 levels (excluding root and subscription), 10,000 MGs per tenant. Set up: Elevate Global Admin to User Access Administrator of root MG first.",AZ-104 IdentityGovernance ManagementGroups
"Azure spending exceeded budget last month. You need to prevent future overages while allowing resource deployments within budget. What should you implement?<br><br>A) Set up spending alerts only<br>B) Configure Azure budgets with action groups and alert thresholds<br>C) Manually review costs weekly","B) Configure Azure budgets with action groups and alert thresholds. Budgets track spending against thresholds (e.g., 50%, 80%, 100%), trigger alerts to action groups (email/webhook), enable proactive cost management.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/tutorial-acm-create-budgets"">Create Budgets</a>","Budget configuration: set amount ($10K/month), time period (monthly/quarterly/annual), alert thresholds (50%, 90%, 100% of budget), action groups (email admins, trigger runbook). Alerts only (option A) reactive, not proactive. Manual review (option C) doesn't scale. Action groups: send emails, SMS, trigger Logic App (auto-shutdown VMs), create service ticket. Budget scopes: subscription, resource group, management group. Forecasted spending: predicts when budget will exceed based on trends. Cost recommendations: Azure Advisor identifies unused resources (idle VMs, unattached disks), right-sizing opportunities. Tags for cost allocation: assign CostCenter tag, filter by tag in cost analysis. Spending doesn't stop at budget (use limits via Azure Policy).",AZ-104 IdentityGovernance CostManagement
"A storage account contains sensitive data that must be accessible only from specific VNets and approved public IPs. How should you configure network access?<br><br>A) Keep storage account public with SAS tokens<br>B) Configure Storage firewall allowing selected VNets and IP ranges<br>C) Use NSGs to control storage access","B) Configure Storage firewall allowing selected VNets and IP ranges. Storage firewall restricts access to specified VNets (via service endpoints) and public IP ranges, denies all other traffic.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-network-security"">Storage Network Security</a>","Storage firewall settings: default allow/deny, VNet rules (subnets with Microsoft.Storage service endpoint), IP rules (public IPs, CIDR ranges), resource instance rules (specific Azure resources). SAS tokens (option A) don't restrict networks. NSGs (option C) control traffic to VMs, not storage accounts. Configuration: Networking blade → Firewalls and virtual networks → Selected networks, add VNets (requires service endpoint on subnet), add IP ranges (office IPs). Exceptions: Allow trusted MS services (Backup, Site Recovery, Log Analytics), Allow Azure portal access. Private endpoints: more secure alternative, injects storage into VNet with private IP. Test: access from unauthorized network returns 403 Forbidden. Logging: diagnostic settings track blocked requests.",AZ-104 Storage NetworkSecurity
"An application requires access to Azure storage blobs with granular permissions (read only, expiry time) without exposing storage account keys. What access method should you use?<br><br>A) Share storage account access keys<br>B) Generate Shared Access Signature (SAS) tokens with specific permissions and expiry<br>C) Make storage account public","B) Generate Shared Access Signature (SAS) tokens with specific permissions and expiry. SAS provides delegated access with specific permissions (read/write), resource scope (blob/container), time-bound validity, without sharing account keys.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-sas-overview"">Shared Access Signatures</a>","SAS types: Account SAS (multiple services), Service SAS (one service), User delegation SAS (signed with Azure AD credentials, most secure). Account keys (option A) grant full access, hard to revoke. Public storage (option C) exposes all data. SAS parameters: permissions (r,w,d,l), expiry time, IP restrictions, HTTPS only. Stored access policy: define SAS parameters in container/queue, can revoke by deleting policy (without regenerating SAS). Best practices: use user delegation SAS (requires Azure AD), set short expiry (hours, not years), use HTTPS only, monitor with Azure Monitor. Generate: Azure Portal, PowerShell (New-AzStorageBlobSASToken), CLI, SDKs. Revoke: delete stored access policy or regenerate account key (affects all SAS).",AZ-104 Storage SAS
"A storage account in East US needs to be replicated to West US for disaster recovery with minimal data loss (seconds) and automatic failover capability. Which redundancy option should you configure?<br><br>A) Locally redundant storage (LRS)<br>B) Geo-redundant storage with read access (RA-GRS)<br>C) Geo-zone-redundant storage (GZRS)","C) Geo-zone-redundant storage (GZRS). GZRS replicates synchronously across 3 availability zones in primary region, then asynchronously to secondary region, provides zonal and geo redundancy with automatic failover.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy"">Storage Redundancy</a>","Redundancy options: LRS (3 copies, same datacenter, 11 nines), ZRS (3 zones, same region, 12 nines), GRS (primary + secondary region, 16 nines), GZRS (zones + geo, 16 nines), RA-GRS/RA-GZRS (read access to secondary). LRS (option A) single region only. RA-GRS (option B) requires manual failover for write access. GZRS: synchronous replication to 3 AZs (milliseconds), asynchronous to secondary (~15 min RPO). Failover types: Microsoft-managed (automatic during regional disaster), customer-managed (manual). Read-only secondary: RA-GZRS allows read from secondary during primary region issue. Change redundancy: can switch between types (GRS→GZRS, LRS→ZRS) in portal, may take up to 72 hours. Cost: LRS cheapest, GZRS most expensive.",AZ-104 Storage Redundancy
