Front,Back,Extra,Tags
"Your web application needs to execute background tasks triggered by HTTP requests but complete asynchronously. Tasks may run for up to 10 minutes. The solution must minimize infrastructure management and costs.<br><br>A) Azure App Service WebJobs with continuous execution<br>B) Azure Functions with Durable Functions extension<br>C) Azure Container Instances with REST API trigger","B) Azure Functions with Durable Functions extension","Durable Functions orchestrate long-running workflows with built-in state management, automatic retries, and checkpointing. Supports async HTTP APIs with status polling. WebJobs require App Service plan (always running). ACI lacks native workflow orchestration. Durable Functions is serverless and purpose-built for stateful workflows.","AZ-204 Compute AzureFunctions"
"An application must scale to 1000 concurrent users with <100ms response time. Traffic is unpredictable with usage spikes during business hours. The solution must minimize costs during off-hours.<br><br>A) Azure App Service with Premium V3 plan and autoscale rules<br>B) Azure Functions Consumption plan with HTTP trigger<br>C) Azure Container Apps with KEDA autoscaling","C) Azure Container Apps with KEDA autoscaling","Container Apps provides automatic scale-to-zero, KEDA-based scaling, and microservices-optimized hosting. Functions Consumption has 230-second timeout (insufficient for some requests). App Service Premium doesn't scale to zero. Container Apps balances serverless economics with container flexibility for web workloads.","AZ-204 Compute Containers"
"A Function App processes messages from a Service Bus queue. During high volume, poison messages cause repeated failures. The solution must move failed messages after 5 attempts without losing data.<br><br>A) Configure Service Bus queue with dead-letter queue and maxDeliveryCount=5<br>B) Implement try-catch in function code with retry logic<br>C) Use Application Insights to track failures and manual intervention","A) Configure Service Bus queue with dead-letter queue and maxDeliveryCount=5","Service Bus automatically moves messages to DLQ after maxDeliveryCount exceeded, preserving message metadata and enabling later analysis/reprocessing. Manual retry logic is error-prone and couples business logic with error handling. App Insights monitors but doesn't handle messages. DLQ is the platform pattern for poison message handling.","AZ-204 Messaging ServiceBus"
"Your Azure Function must authenticate to Azure SQL Database without credentials in code. The function uses a system-assigned managed identity. Connection strings are managed centrally.<br><br>A) Store connection string with password in Key Vault, retrieve using managed identity<br>B) Use managed identity token in SQL connection string with Azure AD authentication<br>C) Store credentials in Function App application settings encrypted","B) Use managed identity token in SQL connection string with Azure AD authentication","Managed identity with SQL Azure AD auth eliminates credentials entirely - connection string uses Authentication=Active Directory Managed Identity. Option A still has passwords in Key Vault. Option C stores credentials (encrypted but present). Managed identity to SQL auth is credential-free pattern for Azure compute.","AZ-204 Security ManagedIdentity"
"An API must securely store database connection strings, API keys, and certificates with automatic rotation every 90 days and audit logging of all access attempts.<br><br>A) Azure Key Vault with secret versioning and access policies<br>B) Azure App Configuration with Key Vault references<br>C) Application settings with encryption at rest","A) Azure Key Vault with secret versioning and access policies","Key Vault is purpose-built for secrets management with versioning, automatic rotation via integrations, and comprehensive audit logs. App Configuration is for settings (use Key Vault references for secrets). Application settings lack rotation features and granular auditing. Key Vault is the secure secrets store with governance features.","AZ-204 Security KeyVault"
"A web application must retrieve feature flags and configuration values with <50ms latency. Configuration changes must propagate to all app instances within 30 seconds without redeployment.<br><br>A) Azure App Configuration with push refresh and feature management<br>B) Azure Key Vault with application polling<br>C) Environment variables with configuration reload","A) Azure App Configuration with push refresh and feature management","App Configuration provides dynamic configuration with push refresh (Event Grid notifications), feature flags with targeting, and built-in caching for low latency. Key Vault is for secrets not config. Environment variables require app restart. App Configuration is the dynamic config management service with sub-second propagation.","AZ-204 Configuration AppConfiguration"
"Your containerized application must scale from 0 to 100 instances based on Azure Service Bus queue length with Kubernetes-compatible APIs. The solution must minimize operational overhead.<br><br>A) Azure Kubernetes Service with KEDA scaler<br>B) Azure Container Instances with Azure Logic App trigger<br>C) Azure Container Apps with Service Bus scale rule","C) Azure Container Apps with Service Bus scale rule","Container Apps has built-in KEDA scaling with Service Bus queue depth trigger, scales to zero, and is fully managed (no cluster management). AKS requires cluster operations. ACI doesn't autoscale natively by queue depth. Container Apps provides KEDA scaling without Kubernetes operational complexity.","AZ-204 Compute Containers"
"An application stores 500GB of JSON documents queried by user ID and timestamp. Queries must support complex filters and global distribution across 3 regions with <10ms P99 read latency.<br><br>A) Azure Cosmos DB for NoSQL with composite indexes<br>B) Azure SQL Database with JSON columns and geo-replication<br>C) Azure Table Storage with geo-redundant storage","A) Azure Cosmos DB for NoSQL with composite indexes","Cosmos DB provides automatic global distribution with <10ms reads, multi-region writes, and composite indexes for efficient JSON queries. SQL Database geo-replication is async (higher latency). Table Storage lacks complex query capabilities. Cosmos DB is the globally distributed NoSQL database optimized for JSON with SLA-backed latency.","AZ-204 Storage CosmosDB"
"Your application must upload 10,000 images per hour to Blob Storage with optimized throughput and automatic retry on transient failures. Images vary from 100KB to 5MB.<br><br>A) Azure Storage SDK with BlobClient and parallel upload operations<br>B) REST API with PUT Blob calls<br>C) AzCopy command-line tool in application code","A) Azure Storage SDK with BlobClient and parallel upload operations","Storage SDK provides built-in retry policies, parallel uploads for large blobs, and optimized throughput with block upload. REST API requires manual retry logic. AzCopy is for command-line scenarios not application integration. SDK abstracts complexity with best practices (exponential backoff, parallelization) built-in.","AZ-204 Storage BlobStorage"
"A blob storage solution must support versioning with automatic deletion of old versions after 30 days while preserving current versions indefinitely. The solution must minimize storage costs.<br><br>A) Enable blob versioning with lifecycle management policy to delete non-current versions after 30 days<br>B) Use blob snapshots with scheduled Azure Function cleanup<br>C) Enable soft delete with 30-day retention","A) Enable blob versioning with lifecycle management policy to delete non-current versions after 30 days","Blob versioning automatically maintains previous versions, lifecycle management has noncurrentVersionsToDelete action for retention policies. Snapshots require manual management. Soft delete protects against deletion but doesn't manage version retention. Versioning + lifecycle = automated version lifecycle with cost optimization.","AZ-204 Storage BlobStorage"
