Front,Back,Extra,Tags
"Your organization needs to enforce that all code must pass CodeQL security scanning before merging to main branch, with automatic remediation for low-severity findings and manual review for high-severity issues.<br><br>A) GitHub Advanced Security with branch protection rules and CodeQL actions<br>B) Third-party SAST tool with webhook integration<br>C) GitHub Actions with custom security scripts","A) GitHub Advanced Security with branch protection rules and CodeQL actions","GHAS CodeQL provides native security scanning with branch protection integration, automatic PR checks, and configurable severity thresholds. Third-party tools lack GitHub's native integration. Custom scripts don't provide the vulnerability database and automated analysis that CodeQL delivers.","GH-300 Security CodeQL"
"A GitHub Enterprise Server instance must support 5,000 developers with high-availability requirements: 99.9% uptime, automated failover within 5 minutes, and geographic redundancy.<br><br>A) GitHub Enterprise Server with high-availability replica in different datacenter<br>B) Multiple standalone GHES instances with load balancer<br>C) GitHub Enterprise Cloud with custom domain","A) GitHub Enterprise Server with high-availability replica in different datacenter","GHES HA replica provides active-passive failover with continuous replication, automatic failover, and geographic separation. Load-balanced standalone instances don't share data. Enterprise Cloud is a different product (hosted by GitHub). HA replica is the supported enterprise resilience pattern.","GH-300 Administration HighAvailability"
"Your company requires all GitHub users authenticate via corporate Active Directory with SAML SSO, automatic user provisioning/deprovisioning via SCIM, and enforce multi-factor authentication.<br><br>A) GitHub Enterprise with SAML SSO and SCIM provisioning via identity provider<br>B) GitHub Enterprise with LDAP Sync<br>C) GitHub OAuth applications with custom provisioning scripts","A) GitHub Enterprise with SAML SSO and SCIM provisioning via identity provider","SAML SSO provides federated authentication, SCIM automates user lifecycle management, and IdP enforces MFA. LDAP Sync is one-way and doesn't handle deprovisioning as cleanly. OAuth apps don't provide enterprise SSO. SAML+SCIM is the recommended enterprise authentication architecture.","GH-300 Authentication IdentityManagement"
"A CI/CD pipeline must deploy to multiple cloud providers (Azure, AWS, GCP) with environment-specific secrets, approval gates for production deployments, and deployment logs retained for audit compliance.<br><br>A) GitHub Actions with environment secrets, required reviewers, and deployment protection rules<br>B) Self-hosted runners with external CI tool integration<br>C) GitHub Actions with organization-level secrets only","A) GitHub Actions with environment secrets, required reviewers, and deployment protection rules","GitHub Environments provide environment-specific secrets, required reviewers for approval gates, deployment history for audit. Organization secrets apply globally (not environment-specific). External CI tools duplicate GitHub's native capabilities. Environments are purpose-built for multi-stage deployment scenarios.","GH-300 CICD GitHubActions"
"Your organization needs to prevent secrets (API keys, tokens, passwords) from being committed to repositories, with automatic revocation notifications to security teams when secrets are detected.<br><br>A) GitHub Advanced Security secret scanning with push protection and partner patterns<br>B) Pre-commit hooks on developer workstations<br>C) Periodic repository scans with custom regex patterns","A) GitHub Advanced Security secret scanning with push protection and partner patterns","GHAS secret scanning prevents secret commits (push protection), scans history for existing secrets, and notifies partners (e.g., AWS) for automatic revocation. Pre-commit hooks are client-side only (bypassable). Custom scanning lacks partner integration. Push protection is the proactive security layer.","GH-300 Security SecretScanning"
"A monorepo contains 50 microservices. CI/CD workflows must only trigger when files related to specific services change, minimizing unnecessary builds and deployment costs.<br><br>A) GitHub Actions with path filters and job conditionals<br>B) Separate repositories for each microservice<br>C) Manual workflow dispatch only","A) GitHub Actions with path filters and job conditionals","Path filters (on.push.paths) trigger workflows only for relevant file changes, conditional job execution prevents unnecessary steps. Splitting repos fragments the codebase unnecessarily. Manual dispatch doesn't scale. Path-based triggering optimizes monorepo CI/CD efficiency.","GH-300 CICD Optimization"
"Your company requires that all pull requests in production repositories must have at least 2 code reviews from CODEOWNERS, pass status checks, and be up-to-date with the base branch before merging.<br><br>A) Branch protection rules with required reviews, CODEOWNERS, status checks, and strict status checks<br>B) GitHub Actions workflow with manual approval steps<br>C) Repository settings with merge commit restrictions only","A) Branch protection rules with required reviews, CODEOWNERS, status checks, and strict status checks","Branch protection enforces review count, CODEOWNERS approval, status checks, and branch freshness policies at the repository level. Actions workflows don't prevent direct merges. Merge restrictions don't enforce reviews or checks. Branch protection is the comprehensive merge policy enforcement mechanism.","GH-300 Governance CodeReview"
"A GitHub Enterprise deployment must collect all audit logs for security analysis in a SIEM tool, including repository access, permission changes, and organizational events.<br><br>A) GitHub Enterprise audit log streaming to SIEM via webhook or API<br>B) Periodic manual export of audit logs<br>C) Enable debug logging on GitHub Enterprise Server","A) GitHub Enterprise audit log streaming to SIEM via webhook or API","Audit log streaming provides real-time event delivery to SIEM tools via webhooks or API polling. Manual exports aren't real-time and don't scale. Debug logging is for troubleshooting not security auditing. Streaming is the enterprise pattern for security operations integration.","GH-300 Compliance AuditLogging"
"A large-scale migration from GitLab to GitHub Enterprise must preserve commit history, branch structure, merge requests as pull requests, and CI/CD pipeline definitions.<br><br>A) GitHub Enterprise Importer (GEI) with GitLab import support<br>B) Git clone and push with manual PR recreation<br>C) Export/import via archive files","A) GitHub Enterprise Importer (GEI) with GitLab import support","GEI preserves commit history, converts merge requests to PRs, migrates branches, and provides migration reports. Manual clone/push loses PRs and metadata. Archive exports don't preserve GitHub-compatible structures. GEI is purpose-built for enterprise migrations with fidelity preservation.","GH-300 Migration DataImport"
"Your organization needs to scan all repository dependencies for known vulnerabilities, automatically create pull requests for security updates, and enforce policies blocking vulnerable dependencies in production.<br><br>A) GitHub Dependabot alerts with security updates and dependency review action<br>B) Third-party dependency scanning with manual PR creation<br>C) Weekly npm audit script in GitHub Actions","A) GitHub Dependabot alerts with security updates and dependency review action","Dependabot alerts identify vulnerabilities, security updates create automated PRs with upgrades, dependency review action enforces policies on PRs. Third-party tools lack native GitHub integration. Manual scripts don't provide the vulnerability database and automated remediation Dependabot offers.","GH-300 Security DependencyManagement"
"A GitHub Actions workflow processes sensitive data and must run in an isolated environment with no internet access, custom network policies, and dedicated compute resources.<br><br>A) Self-hosted runners in isolated network with firewall rules<br>B) GitHub-hosted runners with IP restrictions<br>C) GitHub Actions containers with network restrictions","A) Self-hosted runners in isolated network with firewall rules","Self-hosted runners allow full environment control: network isolation, custom security policies, and dedicated resources. GitHub-hosted runners have internet access by design. Container network restrictions don't provide datacenter-level isolation. Self-hosted runners are required for airgapped environments.","GH-300 CICD Security"
"Your company requires repository templates for new projects that include branch protection, required reviewers, issue templates, and standardized CI/CD workflows across 100+ development teams.<br><br>A) Repository templates with .github folder structure and Organization-level settings<br>B) Manual repository creation with documentation<br>C) Clone starter template for each new repository","A) Repository templates with .github folder structure and Organization-level settings","Repository templates propagate .github configurations (workflows, issue templates), combined with organization-level default settings for branch protection. Manual processes don't scale. Simple cloning loses the template relationship. Templates + org settings provide scalable, standardized repository bootstrapping.","GH-300 Governance RepositoryManagement"
"A monolithic application CI/CD pipeline must build, test, and deploy in parallel across 10 independent modules with a final integration deployment only if all module pipelines succeed.<br><br>A) GitHub Actions matrix strategy with dependent deployment job<br>B) Sequential jobs for each module<br>C) Separate workflows triggered manually","A) GitHub Actions matrix strategy with dependent deployment job","Matrix strategy runs parallel jobs for each module, needs: syntax creates job dependencies, final deployment job depends on all module jobs. Sequential execution is slow. Separate workflows lack coordination. Matrix + dependencies provide parallel execution with orchestrated rollup.","GH-300 CICD Orchestration"
"Your organization must enforce that all commits are signed with GPG keys, with vigilant mode enabled to show signature status on all commits.<br><br>A) Branch protection requiring signed commits with vigilant mode in organization settings<br>B) Pre-commit hooks on developer workstations<br>C) GitHub Actions workflow validating commit signatures","A) Branch protection requiring signed commits with vigilant mode in organization settings","Branch protection enforces signed commits at push time, vigilant mode displays signature verification status. Pre-commit hooks are client-side only (bypassable). Actions workflows run after push (too late). Signed commit enforcement + vigilant mode provides commit authenticity verification.","GH-300 Security CommitSigning"
"A GitHub Enterprise Server deployment serves 10,000 users and experiences slow repository clones and pushes. The solution must improve Git protocol performance without requiring client-side changes.<br><br>A) Enable Git protocol v2 and repository network caching<br>B) Increase server CPU and memory allocation only<br>C) Migrate to GitHub Enterprise Cloud","A) Enable Git protocol v2 and repository network caching","Git Protocol v2 reduces data transfer and improves performance transparently. Repository network caching speeds up transfers. Hardware scaling alone doesn't optimize protocol efficiency. Cloud migration is unnecessary before optimization. Protocol optimization + caching are targeted performance improvements.","GH-300 Administration Performance"
"Your company needs to automate project board card movements based on PR status, issue labels, and release cycles without manual intervention.<br><br>A) GitHub Actions workflows with project automation actions and GraphQL API<br>B) Manual project board management<br>C) Third-party project management tool integration","A) GitHub Actions workflows with project automation actions and GraphQL API","GitHub Actions can automate project boards via GraphQL API, triggered by PR events, label changes, and releases. Manual management doesn't scale. Third-party tools lose native GitHub integration. Actions + GraphQL provide event-driven project automation within GitHub's native project management.","GH-300 Automation ProjectManagement"
"A compliance requirement mandates that all production deployments must be traceable to approved change tickets in Jira, with automated enforcement preventing deployments without ticket references.<br><br>A) GitHub Actions with deployment gates validating Jira ticket in commit messages or PR body<br>B) Manual review of deployments<br>C) Post-deployment audit reports","A) GitHub Actions with deployment gates validating Jira ticket in commit messages or PR body","Deployment gates in GitHub Actions can validate Jira ticket references via API, blocking deployments without valid tickets. Manual review doesn't scale and is error-prone. Post-deployment audits are reactive. Pre-deployment validation enforces compliance proactively.","GH-300 Compliance ChangeManagement"
